Id,Season,Area,unit_area_production(qui/ha),Latitude(N),Longitude(E)
93,Kharif,121.0,1.1322314049586777,20.73218365,81.14335738365041
94,Kharif,141.0,0.8439716312056738,20.73218365,81.14335738365041
95,Kharif,127.0,0.5826771653543307,20.73218365,81.14335738365041
96,Kharif,215.0,0.9116279069767442,21.57264595,82.43670691696441
97,Kharif,258.0,1.934108527131783,21.57264595,82.43670691696441
98,Kharif,209.0,1.6220095693779903,21.57264595,82.43670691696441
99,Kharif,262.0,1.118320610687023,21.57264595,82.43670691696441
100,Kharif,56.0,0.7142857142857143,23.6263016,83.4824509165653
101,Kharif,14.0,1.0714285714285714,23.6263016,83.4824509165653
102,Kharif,30.0,0.7333333333333333,23.6263016,83.4824509165653
103,Kharif,28.0,0.5357142857142857,23.6263016,83.4824509165653
104,Kharif,64.0,0.765625,19.44566365,81.4828168480163
105,Kharif,57.0,1.087719298245614,19.44566365,81.4828168480163
106,Kharif,70.0,0.8,19.44566365,81.4828168480163
107,Kharif,25.0,1.28,19.44566365,81.4828168480163
108,Kharif,25.0,1.36,19.44566365,81.4828168480163
109,Kharif,16.0,1.25,19.44566365,81.4828168480163
110,Kharif,17.0,1.7058823529411764,19.44566365,81.4828168480163
111,Kharif,28.0,1.5714285714285714,19.44566365,81.4828168480163
112,Kharif,22.0,1.318181818181818,19.44566365,81.4828168480163
113,Kharif,11.0,1.0909090909090908,19.44566365,81.4828168480163
114,Kharif,17.0,1.4705882352941178,19.44566365,81.4828168480163
115,Kharif,15.0,1.0,19.44566365,81.4828168480163
116,Kharif,17.0,1.7647058823529411,19.44566365,81.4828168480163
117,Kharif,16.0,1.0625,19.44566365,81.4828168480163
118,Kharif,32629.0,0.7342854515921421,21.6783969,81.4304762283333
119,Kharif,29313.0,1.0223109200695937,21.6783969,81.4304762283333
120,Kharif,35703.0,0.7809707867686189,21.6783969,81.4304762283333
121,Kharif,30195.0,0.5506871998675278,21.6783969,81.4304762283333
122,Kharif,1.0,1.0,18.793567899999996,80.815939
123,Kharif,591.0,0.5296108291032149,22.0785627,82.14764749999999
124,Kharif,554.0,0.907942238267148,22.0785627,82.14764749999999
125,Kharif,355.0,0.6140845070422535,22.0785627,82.14764749999999
126,Kharif,525.0,1.0,22.0785627,82.14764749999999
127,Kharif,851.0,1.054054054054054,22.0785627,82.14764749999999
128,Kharif,1034.0,1.0522243713733077,22.0785627,82.14764749999999
129,Kharif,1813.0,1.2829564258135686,22.0785627,82.14764749999999
130,Kharif,2102.0,1.417221693625119,22.0785627,82.14764749999999
131,Kharif,2533.0,1.311488353730754,22.0785627,82.14764749999999
132,Kharif,2572.0,1.1189735614307932,22.0785627,82.14764749999999
133,Kharif,4034.0,1.381011403073872,22.0785627,82.14764749999999
134,Kharif,215.0,0.9813953488372092,22.0785627,82.14764749999999
135,Kharif,205.0,1.517073170731707,22.0785627,82.14764749999999
136,Kharif,192.0,1.2447916666666667,22.0785627,82.14764749999999
137,Kharif,183.0,0.8633879781420765,22.0785627,82.14764749999999
138,Kharif,9.0,0.6666666666666666,18.5915348,81.2459429138035
139,Kharif,26.0,1.1538461538461535,18.5915348,81.2459429138035
140,Kharif,30.0,0.6666666666666666,18.5915348,81.2459429138035
141,Kharif,28.0,0.9642857142857144,18.5915348,81.2459429138035
142,Kharif,27.0,0.8888888888888888,18.5915348,81.2459429138035
143,Kharif,24.0,0.7916666666666666,18.5915348,81.2459429138035
144,Kharif,16.0,1.375,18.5915348,81.2459429138035
145,Kharif,12.0,2.0,18.5915348,81.2459429138035
146,Kharif,14.0,1.1428571428571428,18.5915348,81.2459429138035
147,Kharif,12.0,1.4166666666666667,18.5915348,81.2459429138035
148,Kharif,9.0,1.0,18.5915348,81.2459429138035
149,Kharif,7.0,1.5714285714285714,18.5915348,81.2459429138035
150,Kharif,7.0,1.4285714285714286,18.5915348,81.2459429138035
151,Kharif,8.0,0.875,18.5915348,81.2459429138035
152,Kharif,6.0,1.0,20.53727665,81.7091514573767
153,Kharif,6.0,0.6666666666666666,20.53727665,81.7091514573767
154,Kharif,30.0,1.2,20.53727665,81.7091514573767
155,Kharif,42.0,1.3095238095238095,20.53727665,81.7091514573767
156,Kharif,44.0,1.4545454545454546,20.53727665,81.7091514573767
157,Kharif,2554.0,0.5086139389193423,21.44201085,81.3998353339245
158,Kharif,2998.0,0.6501000667111407,21.44201085,81.3998353339245
159,Kharif,4394.0,0.4665452890304962,21.44201085,81.3998353339245
160,Kharif,7081.0,0.7426917102104222,21.44201085,81.3998353339245
161,Kharif,11734.0,0.8569967615476394,21.44201085,81.3998353339245
162,Kharif,18015.0,0.8264779350541216,21.44201085,81.3998353339245
163,Kharif,25500.0,0.8874901960784314,21.44201085,81.3998353339245
164,Kharif,27196.0,1.0870716281806148,21.44201085,81.3998353339245
165,Kharif,30516.0,0.8080678988071831,21.44201085,81.3998353339245
166,Kharif,31683.0,0.8237225010257867,21.44201085,81.3998353339245
167,Kharif,37298.0,1.0534345005094108,21.44201085,81.3998353339245
168,Kharif,6900.0,0.7343478260869565,21.44201085,81.3998353339245
169,Kharif,7331.0,1.1711908334470058,21.44201085,81.3998353339245
170,Kharif,6641.0,0.8427947598253275,21.44201085,81.3998353339245
171,Kharif,7538.0,0.5939241178031308,21.44201085,81.3998353339245
172,Kharif,2.0,1.0,20.52684285,82.1878310044332
173,Kharif,6.0,0.6666666666666666,21.967126399999998,82.6647242496104
174,Kharif,12.0,1.0,21.967126399999998,82.6647242496104
175,Kharif,23.0,0.8260869565217391,21.967126399999998,82.6647242496104
176,Kharif,26.0,1.0769230769230769,21.967126399999998,82.6647242496104
177,Kharif,40.0,1.2,21.967126399999998,82.6647242496104
178,Kharif,29.0,1.0344827586206895,21.967126399999998,82.6647242496104
179,Kharif,27.0,1.1851851851851851,21.967126399999998,82.6647242496104
180,Kharif,39.0,1.4102564102564104,21.967126399999998,82.6647242496104
181,Kharif,33.0,1.3636363636363635,21.967126399999998,82.6647242496104
182,Kharif,33.0,1.3333333333333333,21.967126399999998,82.6647242496104
183,Kharif,50.0,1.52,21.967126399999998,82.6647242496104
184,Kharif,35.0,1.0285714285714285,21.967126399999998,82.6647242496104
185,Kharif,24.0,1.625,21.967126399999998,82.6647242496104
186,Kharif,25.0,1.32,21.967126399999998,82.6647242496104
187,Kharif,25.0,0.96,21.967126399999998,82.6647242496104
188,Kharif,11.0,0.6363636363636364,22.76678355,83.9530451895332
189,Kharif,18.0,0.7222222222222222,22.76678355,83.9530451895332
190,Kharif,33.0,0.6060606060606061,22.76678355,83.9530451895332
191,Kharif,33.0,0.9696969696969696,22.76678355,83.9530451895332
192,Kharif,21.0,0.8095238095238095,22.76678355,83.9530451895332
193,Kharif,25.0,0.92,22.76678355,83.9530451895332
194,Kharif,20.0,0.9,22.76678355,83.9530451895332
195,Kharif,20.0,1.2,22.76678355,83.9530451895332
196,Kharif,20.0,1.15,22.76678355,83.9530451895332
197,Kharif,10.0,1.1,22.76678355,83.9530451895332
198,Kharif,146.0,1.1986301369863013,22.76678355,83.9530451895332
199,Kharif,4.0,0.75,22.76678355,83.9530451895332
200,Kharif,5.0,0.6,22.76678355,83.9530451895332
201,Kharif,1858.0,0.4364908503767492,22.11587845,81.24454117466809
202,Kharif,2969.0,0.6840687100033681,22.11587845,81.24454117466809
203,Kharif,2945.0,0.5724957555178268,22.11587845,81.24454117466809
204,Kharif,5273.0,0.9890005689360896,22.11587845,81.24454117466809
205,Kharif,10605.0,1.025836869401226,22.11587845,81.24454117466809
206,Kharif,15455.0,0.8537690067939179,22.11587845,81.24454117466809
207,Kharif,22842.0,1.0643113562735311,22.11587845,81.24454117466809
208,Kharif,25945.0,1.0929273463095008,22.11587845,81.24454117466809
209,Kharif,28935.0,1.1449455676516331,22.11587845,81.24454117466809
210,Kharif,28707.0,1.126763507158533,22.11587845,81.24454117466809
211,Kharif,32684.0,1.272855219679354,22.11587845,81.24454117466809
212,Kharif,35556.0,0.8872482843964451,22.11587845,81.24454117466809
213,Kharif,35271.0,1.3475376371523349,22.11587845,81.24454117466809
214,Kharif,36042.0,1.2267632206869763,22.11587845,81.24454117466809
215,Kharif,34771.0,0.4044749935290903,22.11587845,81.24454117466809
216,Kharif,84.0,0.6547619047619048,20.1270026,80.9802409894091
217,Kharif,19.0,1.1578947368421053,20.1270026,80.9802409894091
218,Kharif,10.0,0.2,20.1270026,80.9802409894091
219,Kharif,8.0,1.375,20.1270026,80.9802409894091
220,Kharif,4.0,1.5,20.1270026,80.9802409894091
221,Kharif,6.0,1.3333333333333333,20.1270026,80.9802409894091
222,Kharif,1.0,1.0,20.1270026,80.9802409894091
223,Kharif,4.0,1.0,19.70436465,81.7465502112878
224,Kharif,1.0,,19.70436465,81.7465502112878
225,Kharif,2.0,0.5,22.51976955,82.62951462416821
226,Kharif,1.0,1.0,22.51976955,82.62951462416821
227,Kharif,2.0,0.5,22.51976955,82.62951462416821
228,Kharif,3.0,0.6666666666666666,22.51976955,82.62951462416821
229,Kharif,3.0,0.6666666666666666,22.51976955,82.62951462416821
230,Kharif,3.0,1.3333333333333333,22.51976955,82.62951462416821
